,logisticRegression,logisticRegression,NaiveBayes,NaiveBayes,RandomForestClassifier,RandomForestClassifier
,mean,std,mean,std,mean,std
fit_time,0.295,0.009,0.0,0.0,2.397,0.041
score_time,0.003,0.007,0.002,0.004,0.019,0.008
test_score,0.847,0.018,0.782,0.026,0.854,0.018
train_score,0.853,0.006,0.786,0.013,0.898,0.01
